,,Industrial Production Index: Pork NAICS=311611-3pt.: NSA: 2012 = 100: Monthly
1995,3,79.3934
1995,4,76.0271
1995,5,74.4795
1995,6,74.551
1995,7,67.5236
1995,8,73.3437
1995,9,74.365
1995,10,79.3738
1995,11,80.6989
1995,12,76.8355
1996,1,73.8796
1996,2,73.0317
1996,3,71.3827
1996,4,72.6778
1996,5,66.161
1996,6,63.43
1996,7,62.5462
1996,8,66.482
1996,9,71.6121
1996,10,74.6683
1996,11,71.6241
1996,12,70.4566
1997,1,69.5168
1997,2,71.1567
1997,3,72.7654
1997,4,72.8661
1997,5,66.1154
1997,6,69.7281
1997,7,66.5091
1997,8,70.9359
1997,9,76.8056
1997,10,81.9777
1997,11,81.3985
1997,12,81.7537
1998,1,83.169
1998,2,82.6475
1998,3,83.0139
1998,4,81.4473
1998,5,75.3374
1998,6,75.0066
1998,7,76.1583
1998,8,79.6333
1998,9,82.2962
1998,10,88.8709
1998,11,90.5132
1998,12,88.8476
1999,1,85.3798
1999,2,83.9522
1999,3,85.3731
1999,4,83.3007
1999,5,73.9372
1999,6,80.8907
1999,7,74.4868
1999,8,79.9583
1999,9,82.7434
1999,10,88.8029
1999,11,87.567
1999,12,84.1437
2000,1,82.7375
2000,2,84.0099
2000,3,84.7828
2000,4,77.5377
2000,5,77.2383
2000,6,80.5396
2000,7,75.6388
2000,8,83.232
2000,9,84.065
2000,10,91.2746
2000,11,91.4148
2000,12,86.2518
2001,1,87.1325
2001,2,87.0441
2001,3,85.5943
2001,4,85.9552
2001,5,80.1231
2001,6,79.7369
2001,7,76.5688
2001,8,81.5568
2001,9,85.1931
2001,10,92.5327
2001,11,90.2412
2001,12,88.0574
2002,1,84.5744
2002,2,82.3882
2002,3,81.7599
2002,4,84.1704
2002,5,79.1617
2002,6,78.7477
2002,7,74.4513
2002,8,79.8245
2002,9,85.1458
2002,10,87.7311
2002,11,87.3626
2002,12,86.1569
2003,1,84.86
2003,2,84.2041
2003,3,84.3999
2003,4,84.8872
2003,5,78.1086
2003,6,82.4888
2003,7,78.6191
2003,8,82.7973
2003,9,86.9751
2003,10,95.925
2003,11,95.9479
2003,12,94.0901
2004,1,90.4312
2004,2,90.1005
2004,3,90.9962
2004,4,90.8891
2004,5,80.8118
2004,6,88.3201
2004,7,81.6782
2004,8,90.0522
2004,9,94.1082
2004,10,96.6941
2004,11,95.9524
2004,12,95.2917
2005,1,93.2669
2005,2,95.3941
2005,3,93.105
2005,4,93.6931
2005,5,86.9035
2005,6,92.1254
2005,7,83.027
2005,8,90.8899
2005,9,94.1639
2005,10,100.1689
2005,11,99.4847
2005,12,98.6092
2006,1,98.1213
2006,2,96.1869
2006,3,97.023
2006,4,92.8785
2006,5,89.1342
2006,6,89.4824
2006,7,85.3423
2006,8,92.057
2006,9,96.5786
2006,10,104.3104
2006,11,102.5223
2006,12,99.3093
2007,1,98.7716
2007,2,96.826
2007,3,98.944
2007,4,96.95
2007,5,91.8285
2007,6,91.5921
2007,7,89.8305
2007,8,95.9102
2007,9,100.2849
2007,10,110.5168
2007,11,109.3593
2007,12,107.3132
2008,1,109.9636
2008,2,104.9399
2008,3,105.53
2008,4,105.8031
2008,5,93.0881
2008,6,96.0073
2008,7,92.7284
2008,8,95.978
2008,9,102.9167
2008,10,108.0508
2008,11,104.933
2008,12,102.8885
2009,1,103.8805
2009,2,103.9103
2009,3,103.4488
2009,4,101.3233
2009,5,92.4919
2009,6,97.6804
2009,7,92.986
2009,8,101.2982
2009,9,106.4425
2009,10,108.9786
2009,11,106.9663
2009,12,101.8378
2010,1,98.9332
2010,2,102.8184
2010,3,105.2389
2010,4,99.5873
2010,5,89.4041
2010,6,99.1856
2010,7,90.5837
2010,8,98.9695
2010,9,103.067
2010,10,112.3339
2010,11,113.9796
2010,12,109.1001
2011,1,107.3669
2011,2,107.1513
2011,3,109.694
2011,4,101.7481
2011,5,97.8228
2011,6,100.9619
2011,7,92.4195
2011,8,99.9018
2011,9,106.8342
2011,10,112.7096
2011,11,112.3965
2011,12,108.1087
2012,1,105.2903
2012,2,103.2696
2012,3,101.5538
2012,4,99.52
2012,5,95.1697
2012,6,91.4958
2012,7,87.779
2012,8,97.5308
2012,9,103.5177
2012,10,107.7381
2012,11,105.6178
2012,12,101.5172
2013,1,101.0266
2013,2,99.0924
2013,3,101.0221
2013,4,99.6194
2013,5,93.7949
2013,6,92.1938
2013,7,91.2427
2013,8,98.182
2013,9,99.5038
2013,10,107.7828
2013,11,107.8518
2013,12,106.9218
2014,1,103.6431
2014,2,104.1307
2014,3,98.0252
2014,4,98.9332
2014,5,94.3283
2014,6,93.7991
2014,7,89.6873
2014,8,93.0565
2014,9,97.5543
2014,10,106.6507
2014,11,105.6268
2014,12,106.6449
2015,1,108.6486
2015,2,112.1646
2015,3,111.9457
2015,4,109.8791
2015,5,101.356
2015,6,106.6411
2015,7,101.4024
